Unnamed: 0,Gene_ID,adipose_tissue,adrenal_gland,brain,breast,colon,heart,kidney,leukocyte,liver,lung,lymph_node,ovary,prostate_gland,skeletal_muscle_tissue,testis,thyroid_gland,genebody_gc,exon_gc,intron_gc,TSS1k_gc,TSS5k_gc,micropeptide_aa_avg,exon_phastCons20way,intron_phastCons20way,TSS1k_phastCons20way,TSS1k_LINE,TSS1k_LTR,TSS1k_Satellite,TSS1k_SINE,genebody_SINE,genebody_Satellite,genebody_LTR,genebody_LINE,host_miRNAs,AKT1,APC,BRAF,CDKN2A,CTNNB1,EGFR,ERBB2,FBXW7,GNAS,H3F3A,HRAS,IDH1,KRAS,NRAS,PIK3CA,PTEN,RAC1,SF3B1,TP53,U2AF1,genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me1,genebody_Gm12878H3k4me3,genebody_H1hescH3k27ac,genebody_H1hescH3k4me1,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me1,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS1k_K562H3k4me3,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k27ac,TSS5k_H1hescH3k4me1,TSS5k_H1hescH3k4me3,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,cancer-miRNA_targets,miRNA_targets,hbm_total_degree,hbm_cancer-protein_degree
0,ENSG00000083622,0.227636511,0.054905343,0,0.035320303,0.342332694,0.004258067,0,0.144591817,0.010734846,0.461271962,0.000604779,0.058184643,0,0,0,0,0.316359431,0.271228905,0.364107195,0.340509331,0.418127352,0,0.02629404,0.293296543,0.045388914,1.853310963,0.19408692,0,0.894086109,6.034025919,0.030642713,6.972265048,12.9885458,0.02008338,0.148551942,0.139772165,0,0.08815083,0.283405314,0,0.361737062,0,0.31204472,0.478079686,0.013021191,0,0,0.010384884,0.287290783,0.10505645,0.176026284,0.111242462,0.095951001,0.126845673,1.779868319,2.089888058,2.085799823,3.263940242,2.470156292,1.420614956,1.741610204,1.225683272,2.007590265,1.003861039,3.09799951,1.019504649,1.278090123,1.656506718,1.625399133,1.708064874,0.986556326,2.896451401,1.286914969,1.142824658,1.764274204,1.319409849,1.442525472,1.748327088,1.601200747,7.997358643,2.61362013,0,0.187785222,68.00369302,0
1.310145527,ENSG00000099869,0.10542471,0.089300903,0.044113359,0.098181589,0.038307481,0,0.042703182,0,0.307440725,0.098717179,0.013727007,0.198016289,0,0,0.467349719,0.028682736,0.683624907,0.390996226,0.556326634,0.367037652,0.504637841,0,0.011318111,0.096999414,0.172413375,0,0,0,0.09513303,0,0.11210861,0,0.014525971,0.190274852,0.076724491,0,0.192233258,0.378065059,0.035445434,0.211671179,0.042802784,0.064250983,0.056285349,0,0,0.763326048,0,0.100238755,0,0.079200411,0,0.033577275,0.049691016,0,1.779737731,2.723256705,1.322688065,1.703143107,6.213124329,1.977368219,1.202429175,1.082932176,1.1241594,2.250359428,1.377537929,6.871247941,1.07702574,1.288137284,1.041776544,1.408624362,1.10933482,0.119860121,1.572993348,0.919399776,1.076459566,3.164370682,2.735688549,1.024071273,23.39057183,3.996274797,2.802995127,0,0.064492002,168.0724472,1
1.790519102,ENSG00000115934,0.056719308,0.131670114,0,0,0.065720155,0.124322046,0.156142542,0,0.207831857,0,0,0.065523706,0.160439135,0,0,0.051623358,0.440575295,0.543148106,0.392313864,0.361783094,0.521279112,0,0,0.090894155,0.284930848,0.832226209,0,0.041034347,0,10.13415934,0.067061054,8.176580895,18.90691024,0.073941296,0.411311789,0,0.131490914,0,0.11957179,0.421676435,0.119049956,0.118935516,0.269743108,0.274328397,0.207237824,0.090259859,0.291478239,0.220845047,0.253662879,0.231102512,0.172600269,0.085641577,0.266760098,0.13481268,1.153698652,1.438602751,1.770182625,2.631391228,1.694192721,1.295408476,1.671425692,2.030868928,2.048277101,0.927970842,2.104483232,1.005010482,0.650349925,0.962688809,0.805914718,0.875542383,0.906587064,0.839463916,1.358153903,0.986944833,1.416339747,0.896575183,1.322652628,1.015554617,1.197730441,1.437558057,1.074520879,0,0,0.079864768,0
2.928987255,ENSG00000117242,1.28517338,1.947659655,0.930390398,1.295859702,0.617664342,3.315647447,0.9471976,0.775954055,1.226234977,0.566078799,0.7687131,1.905990181,0.571251391,1.0432228,0.968406378,1.924685599,0.664170567,0.592579087,0.435311276,0.61344572,0.208807633,0,0.191919249,0.051138233,0.149901333,1.048057527,3.832485564,0.007444576,0.86598057,8.878659785,0,2.941506558,1.060774083,0.019127209,0.518293198,0.262796444,0.094726686,0,0.159518725,0.322612696,0.333630057,0.376149591,0.255637344,0,0.151759544,0.293554235,0,0.154125988,0.0769119,0.353689434,0.238762631,0.548568467,0.433900535,0.400721203,1.072241035,1.531167128,1.605773946,2.368841687,1.962132386,1.386790825,2.502944619,2.162567894,2.135654597,0.937626995,2.901492397,1.55084634,1.283432156,2.905132909,1.064242643,1.675839087,1.60669762,1.632144869,1.065011203,3.207070465,1.814127628,1.054416265,1.74058527,0.913773985,1.334438018,1.639833629,1.529278259,0,5.896208984,25.91796699,0
4.030714016,ENSG00000122043,0.095842347,0.172524115,0.077494489,0.099847365,0.073933587,0.028895897,0,0.254496321,0,0.147130682,0.302319178,0.040273141,0.132453311,0.193430078,0.339032754,0.115580765,0.400317734,0.323010133,0.512868574,0.396692105,0.299972892,49.8768154,0,0.1245991,0.065580611,0.031942995,0.036691853,0.05684776,0.044509217,3.866877893,0.00232704,4.020127475,3.176830275,0,0.044827998,0,0.183815749,0.392176669,0,0,0.022778349,0.067926523,0,0.440293282,0,0.037666508,0,0.144952758,0.053291885,0.479817496,0.043665701,0,0.075138727,0,1.743166873,3.36067253,2.944697854,2.825442492,5.502348602,1.956970694,1.421846008,1.212557242,1.239090493,4.393747075,3.56886267,1.635631164,0.944648816,1.992060636,0.798017918,1.22260776,1.449971497,23.09343142,0.96689771,0.797808123,1.520767856,1.930382993,1.816391799,1.208447322,1.523752611,1.570538857,0.982150937,0,0,328.04766,1
5.103061735,ENSG00000124835,0,0.187848055,0,0.009609517,0,0.09662208,0,0,0.130499647,0.137242026,0.137503185,0.039241395,0,0.133782113,0.115643935,0,0.26045475,0.333029855,0.495309499,0.5416988,0.398165753,0.058137086,0,0.037943342,0,1.036263659,0,0.087500496,0.06931055,0.03739159,0,0.907723401,2.943312739,0,0.184596268,0.0970916,0.249515721,0.194204851,0.123896505,0,0.089133084,0.205100927,0.216466083,0.219133967,0.034177094,0.038996381,0.422785462,0.413688491,0,0,0.132347634,0.528252515,0.335321855,0.448854886,1.099437592,1.694908519,2.219991158,2.788033298,2.34609087,1.564450125,1.387914873,1.002821321,1.566604639,1.861500705,1.532672307,1.013876056,0.979402165,2.351483742,1.240358654,1.367262831,1.385131866,1.131744891,1.716448189,2.371372323,1.448333177,0.900067311,2.019423707,1.923813427,1.336513834,5.251423052,1.558474743,0,0,1037.912066,0
5.94381588,ENSG00000124915,0,0,0.155666074,0.059386567,0,0.131533122,0,0.209492843,0.139958085,0,0.078826538,0.0822059,0.051603137,0,0.89000642,0.181815554,0.665430049,0.480013212,0.628764989,0.675843264,0.577334349,0,0.058034473,0.004312592,0.260505744,0.079786268,0,0.022512517,0,3.183751164,0.11658614,0.148411077,1.051583541,0.099200593,0,0,0.381975583,0,0.193676934,0.440789557,0,0.20716012,0,0.043706574,0,0.331231221,0.042762801,0.074164982,0.178471571,0,0,0.059845481,0,0.123114587,2.558865402,3.856879498,2.495172122,3.311208658,7.740205243,3.371383664,9.461983483,20.48159875,9.720726406,1.12429803,4.462856427,0.959649211,1.031369859,1.991653226,0.945891006,1.108850961,1.390286191,1.816409436,0.846775214,4.096245141,1.109049695,2.227951253,1.179510235,1.574205671,1.782762018,2.599280159,1.299543344,0,0,5052.890814,0
6.944229567,ENSG00000125514,0.070697264,0,0,0.117357134,0.054533453,0.022365027,0,0.035277775,0,0.000751755,0.253078188,0.036142023,0,0.068552585,1.789617834,0,0.594125355,0.623899514,0.606234907,0.582814399,0.673278942,0,0.094667971,0,0.139833938,0.081759216,0.050576592,0.051427766,0,0.018101494,0,0.013649938,1.128323593,0.041447687,0.07546647,0.102282238,0.463654641,0.07506274,0,0.356060297,0.068678921,0.25220518,0,0.305690622,0.093476154,0.063057007,0.073030369,0,0.148788732,0.006019007,0,0.055813545,0.126097802,0.029079372,0.965617757,2.021349705,1.665664124,3.303569378,7.849540324,1.53971843,2.109021067,2.000363271,1.80874794,3.1021876,4.458567044,1.731452038,0.838804397,1.191430289,0.879612338,1.396345764,0.936227105,6.27353876,1.989757038,1.375208981,1.602092308,1.554122552,2.594596153,1.30064342,1.594381389,1.953069673,1.495220413,0,0,5455.06224,1
7.746749883,ENSG00000125804,0.049911583,0.140598583,0.827119073,0.203703522,0.200728797,0.050406288,0.029562669,0.052955838,0.009544704,0.144720874,0.057628653,0.705478323,0.106811827,0.072973194,0.404260725,0.192200417,0.489071132,0.328544807,0.585022423,0.448631024,0.461728122,0,0.065907626,0.140418948,0.119039328,1.965880197,0.843233032,0.049235744,0,12.97213974,6.002401234,3.191265248,6.140690995,0.064700595,0.150462579,0.161334309,0.688908467,0.616823554,0.48576528,0,0.045944269,0.377725602,0.15400928,0.139286158,0.241169072,0,0.528974759,0,0,0.146483199,0.479534639,0.421517442,0.282270172,0.294777109,1.026609797,1.55045627,2.406871466,2.625006742,2.794724334,1.939451216,2.159874646,2.629594428,3.094117378,0.902540868,0.973654377,0.786883196,1.815365004,1.210903184,0.8883013,1.91392571,1.212240725,0.972792265,1.543033011,0.974309753,1.436617543,0.746847692,1.033718317,0.822261208,4.854706429,1.784403808,1.977821493,1,0,214.0008578,1
8.920428141,ENSG00000129816,0.115327163,0,0,0.03798806,0,0.110402026,0,0,0,0,0.161513851,0.089373708,0.147671957,0,0,0.012798678,0.456089981,0.368055155,0.446597857,0.539798678,0.315912725,0,0.049344497,0,0.048262741,0.023397482,4.145959288,0,0.148678919,0.933899381,0,0.031593226,0.059744645,0.207063196,0,0.174725074,0,0,0.112456765,0,0,0.029762733,0,0.027171142,0.058909997,0.146496222,0.19294208,0.107446948,0.163317741,0.238136595,0,0,0,0.060511417,0,0,0.159373398,1.769254555,1.4399954,1.110944729,0,0.117726952,0.026837376,0.077627552,1.054558397,1.461265056,1.15751466,0,0.143711432,0.160405832,0.862482862,0.069876274,1.024233799,0.001753896,0.077862374,0,0.008274986,1.065203671,1.220793278,1.073496307,1.134181247,0,0.193411559,0.023743442,0
